run,tau_hat,lambda_hat,tau_ci_lower,tau_ci_upper,lambda_ci_lower,lambda_ci_upper,tau_in_CI,lambda_in_CI
52,0.25517001150967505,6.758305179393275,0.0837947345956141,0.426545288423736,5.6000987578050205,7.91651160098153,True,False
53,0.03815979074036574,6.900522614813022,-0.05364504204167374,0.12996462352240523,4.446982534211044,9.354062695415001,False,False
54,0.13513910116163852,9.178544497269222,0.025571770264148835,0.2447064320591282,7.880231888883722,10.476857105654721,False,False
55,0.03512579384597095,8.437754785148055,-0.057849370800305944,0.12810095849224784,6.362158541543172,10.513351028752938,False,False
56,0.2387373555638176,11.834609421806764,-0.006262644436182407,0.4837373555638176,9.784367940967591,13.884850902645937,True,False
57,0.09960378552480448,7.583419854110455,-0.053980431599013584,0.2531880026486225,6.599074101419681,8.56776560680123,True,False
58,-0.007083928954273866,9.468823937632479,-0.059060505492750125,0.044892647584202396,8.00885018348315,10.928797691781808,False,False
59,0.32975889786023993,6.808584670894987,0.08387327048755425,0.5756445252329256,5.84202346725865,7.775145874531325,True,False
60,0.36287189586316637,7.17682138598396,0.22049667755882066,0.5052471141675121,5.925375225119741,8.428267546848177,True,False
61,0.26699273765139475,7.5827048043896115,0.14395660576937933,0.3900288695334102,6.263318973059076,8.902090635720148,True,False
62,1.2740136447711408,3.880875620013148,0.9699644997056873,1.5780627898365942,2.5710471402016273,5.190704099824669,False,True
63,0.6601488135620672,7.100707575070964,0.16809488276164158,1.152202744362493,7.100707575070964,7.100707575070964,True,False
64,0.37136095790746493,6.125322283493134,0.12636095790746493,0.6163609579074649,5.064164337208423,7.186480229777844,True,False
65,2.7134239717069604,6.47696577140689,2.048635098638755,3.378212844775166,4.890109157412202,8.06382238540158,False,False
66,0.09643896179692084,9.262961936526281,-0.04446551461710209,0.23734343821094378,7.6644337464556465,10.861490126596916,False,False
67,0.022185693622962056,6.538157757557345,-0.046526633155539156,0.09089802040146328,4.918356519252898,8.157958995861792,False,False
68,0.10021083279709371,10.860475636124155,-0.009356498100395974,0.2097781636945834,8.199659105273737,13.521292166974574,False,False
69,0.1925197686416544,3.05989071381044,-0.17409312624385861,0.5591326635271674,1.9380953211870957,4.181686106433784,True,True
70,1.0068357452134356,5.701109977916678,0.8324103513829849,1.1812611390438863,4.304338033327092,7.097881922506264,False,False
71,0.5081499234253275,6.915727108616471,0.3349087620346234,0.6813910848160316,5.717638512458577,8.113815704774364,False,False
72,0.16465496223132314,4.31145652175992,-0.051490331168996706,0.380800255631643,3.170115508647938,5.452797534871903,True,False
73,0.8290446104145206,7.859654307322419,0.6550980572011831,1.0029911636278581,5.926198409879378,9.79311020476546,False,False
74,0.16044118498231758,5.501504929576459,-0.013038963683450505,0.3339213336480856,4.399456549820224,6.603553309332694,True,False
75,0.6774680097462493,3.9780963229424935,0.6774680097462493,0.6774680097462493,3.182311321602986,4.7738813242820015,False,False
76,0.08950374959973542,9.352025001422383,-0.08575284036478628,0.26476033956425715,7.034123300264975,11.669926702579792,True,False
77,0.13191120384426014,6.333359250164912,-0.00953961210719817,0.27336201979571845,4.138962226158655,8.527756274171168,True,False
78,0.1016959274278209,13.650026201571741,-1.34640958055051,1.5498014354061518,13.650026201571741,13.650026201571741,True,False
79,0.0897663346403427,13.04184798515611,-0.052102136005226535,0.23163480528591193,11.191620957110015,14.892075013202206,False,False
80,0.06905185639610963,6.15918899231668,0.06905185564437646,0.06905185714784279,-6.233109961754471,18.55148794638783,False,True
81,0.21295354643686842,9.935946958319622,0.07517538830964518,0.35073170456409164,7.564844796908069,12.307049119731175,True,False
82,0.2908256694234661,8.095974029425964,0.1477279732618144,0.4339233655851178,6.677088440855486,9.514859617996443,True,False
83,2.2688058232823054,4.726689148223841,2.2688058232823054,2.2688058232823054,3.5686503069089994,5.884727989538682,False,False
84,0.3821936375703391,5.72479936608741,0.20895247617963494,0.5554347989610432,5.72479936608741,5.72479936608741,True,False
85,1.0175786644158096,6.885273557542206,0.17413265361688934,1.86102467521473,6.885273557542206,6.885273557542206,True,False
86,0.28293327831681936,6.2292848090423805,0.10969211692611522,0.45617443970752347,5.150116274090408,7.308453343994353,True,False
87,0.07122744352806062,7.943877018557055,-0.018022014543293052,0.1604769015994143,6.0022369240142694,9.88551711309984,False,False
88,0.19245429627422328,9.690355674700047,0.06995429627422328,0.3149542962742233,8.319646957653882,11.061064391746212,True,False
89,2.1428733382720915,5.3266878038054415,1.8572505994002282,2.4284960771439548,4.559808678313239,6.093566929297644,False,False
90,0.11922034986229224,5.870198342363689,-0.1358477206774209,0.3742884204020054,4.647657877123075,7.092738807604302,True,False
91,0.5139201292634441,9.564239942842562,0.15437661381595302,0.8734636447109352,6.125479491209637,13.003000394475487,True,False
92,0.31500726425940545,6.724650213337931,0.1436504061558191,0.4863641223629918,5.572335280934731,7.8769651457411305,True,False
93,8328956717700.295,6.158498032719491,,,,,False,False
94,0.3276575104469106,4.115898444692192,-0.028864002915423514,0.6841790238092447,4.115898444692192,4.115898444692192,True,False
95,0.4425895025997886,7.328170896477626,0.30078617446604,0.5843928307335371,6.523241779027904,8.133100013927349,False,False
96,9.208437303435783,5.023382682232003,-0.9217462944808865,19.338620901352453,5.023382682232003,5.023382682232003,True,False
97,0.20031898353975885,8.751794592335738,0.02650958511378343,0.3741283819657343,6.600571900496959,10.903017284174517,True,False
98,0.24499437141786584,4.675430664182254,0.053332284562007864,0.4366564582737238,2.883225068088172,6.467636260276335,True,True
99,0.21262028008613343,9.24840176592918,0.10298884318141086,0.322251716990856,7.645260480389753,10.851543051468608,True,False
100,0.1380324516378575,7.966617445542971,0.015047047416738416,0.2610178558589766,6.581002581022759,9.352232310063183,True,False
